,time,[Ac],[Glcxt],[O2],[X],[dummy_S],[fba__Ac],[fba__Glcxt],[fba__O2],[fba__X],EX_Ac,EX_Glcxt,EX_O2,EX_X,fba__v1,fba__v2,fba__v3,fba__v4,update__update_Ac,update__update_Glcxt,update__update_O2,update__update_X,vO2_transfer,O2_ref,bounds__Km_EX_Glcxt,bounds__Vmax_EX_Glcxt,bounds__Vmax_EX_O2,bounds__lb_fba_EX_Ac,bounds__lb_fba_EX_Glcxt,bounds__lb_fba_EX_O2,bounds__lb_fba_EX_X,bounds__lb_kin_EX_Glcxt,bounds__lb_kin_EX_O2,dt,fba__ub_default,fba__zero,kLa,lb_EX_Ac,lb_EX_Glcxt,lb_EX_O2,lb_EX_X,pEX_Ac,pEX_Glcxt,pEX_O2,pEX_X,ub_EX_Ac,ub_EX_Glcxt,ub_EX_O2,ub_EX_X
0.0,0.0,0.4,10.8,0.21,0.001,0.0,0.0,0.0,0.0,0.0,-1.5337562096001602,-9.986130374479888,-14.999999999999998,1.0945145233117364,0.03889820465635709,1.0556163186553793,0.0,0.0,0.0015337562096001602,0.009986130374479889,0.014999999999999998,-0.0010945145233117364,0.0,0.21,0.015,10.0,15.0,-1000.0,-10.0,-15.0,-1000.0,-9.986130374479888,-15.0,0.1,1000.0,0.0,7.5,-1000.0,-9.986130374479888,-15.0,-10.0,-1.5337562096001602,-9.986130374479888,-14.999999999999998,1.0945145233117364,1000.0,1000.0,1000.0,1000.0
0.01,0.01,0.3999845745807016,10.799899566666964,0.2098548617399581,0.0010110078416274361,0.0,0.0,0.0,0.0,0.0,-1.533756407775778,-9.986130245678627,-14.999999999999995,1.094514514722392,0.03889820968236819,1.0556163050400238,0.0,0.0,0.001550639755407639,0.010096055985894007,0.015165117624411537,-0.0011065627571593861,0.0010885369503142034,0.21,0.015,10.0,15.0,-1000.0,-10.0,-15.0,-1000.0,-9.986130245678627,-15.0,0.1,1000.0,0.0,7.5,-1000.0,-9.986130245678627,-15.0,-10.0,-1.533756407775778,-9.986130245678627,-14.999999999999995,1.094514514722392,1000.0,1000.0,1000.0,1000.0
0.02,0.02,0.39996897929642894,10.799798027374823,0.209718600669042,0.0010221369002648523,0.0,0.0,0.0,0.0,0.0,-1.5337566081374283,-9.986130115456588,-14.999999999999995,1.0945145060383008,0.038898214763820146,1.0556162912744806,0.0,0.0,0.0015677092252023247,0.01020719208185429,0.01533205350397278,-0.0011187436644969047,0.0021104949821849905,0.21,0.015,10.0,15.0,-1000.0,-10.0,-15.0,-1000.0,-9.986130115456588,-15.0,0.1,1000.0,0.0,7.5,-1000.0,-9.986130115456588,-15.0,-10.0,-1.5337566081374283,-9.986130115456588,-14.999999999999995,1.0945145060383008,1000.0,1000.0,1000.0,1000.0
0.03,0.03,0.3999532122789618,10.799695369960261,0.20959055813804997,0.0010333885090554398,0.0,0.0,0.0,0.0,0.0,-1.5337568107092265,-9.986129983798095,-14.999999999999995,1.094514497258417,0.03889821990132454,1.0556162773570925,0.0,0.0,0.001584966663872434,0.010319551975190938,0.015500827635831592,-0.00113105870446144,0.003070813964625163,0.21,0.015,10.0,15.0,-1000.0,-10.0,-15.0,-1000.0,-9.986129983798095,-15.0,0.1,1000.0,0.0,7.5,-1000.0,-9.986129983798095,-15.0,-10.0,-1.5337568107092265,-9.986129983798095,-14.999999999999995,1.094514497258417,1000.0,1000.0,1000.0,1000.0
0.04,0.04,0.3999372716393228,10.79959158212483,0.2094701229106105,0.0010447640159536942,0.0,0.0,0.0,0.0,0.0,-1.5337570155155786,-9.986129850687295,-14.999999999999998,1.0945144883816835,0.038898225095500345,1.0556162632861832,0.0,0.0,0.0016024141390272085,0.010433149126639122,0.01567146023930541,-0.0011435093524011506,0.0039740781704211,0.21,0.015,10.0,15.0,-1000.0,-10.0,-15.0,-1000.0,-9.986129850687295,-15.0,0.1,1000.0,0.0,7.5,-1000.0,-9.986129850687295,-15.0,-10.0,-1.5337570155155786,-9.986129850687295,-14.999999999999998,1.0945144883816835,1000.0,1000.0,1000.0,1000.0
0.05,0.05,0.39992115546768053,10.799486651434316,0.20935672772360742,0.0010562647837944678,0.0,0.0,0.0,0.0,0.0,-1.5337572225811333,-9.98612971610815,-14.999999999999995,1.0945144794070307,0.03889823034697269,1.055616249060058,0.0,0.0,0.0016200537411028642,0.010547997145528487,0.01584397175691701,-0.0011560970999507818,0.004824542072944318,0.21,0.015,10.0,15.0,-1000.0,-10.0,-15.0,-1000.0,-9.98612971610815,-15.0,0.1,1000.0,0.0,7.5,-1000.0,-9.98612971610815,-15.0,-10.0,-1.5337572225811333,-9.98612971610815,-14.999999999999995,1.0945144794070307,1000.0,1000.0,1000.0,1000.0
0.06,0.06,0.39990486183316126,10.799380565317515,0.20924984610244662,0.0010678921904275927,0.0,0.0,0.0,0.0,0.0,-1.5337574319308536,-9.986129580044457,-15.000000000000002,1.0945144703333785,0.03889823565637468,1.0556162346770037,0.0,0.0,0.0016378875835692387,0.010664109791127451,0.016018382856413892,-0.001168823455179008,0.005626154231650263,0.21,0.015,10.0,15.0,-1000.0,-10.0,-15.0,-1000.0,-9.986129580044457,-15.0,0.1,1000.0,0.0,7.5,-1000.0,-9.986129580044457,-15.0,-10.0,-1.5337574319308536,-9.986129580044457,-15.000000000000002,1.0945144703333785,1000.0,1000.0,1000.0,1000.0
0.07,0.07,0.39988838878364424,10.7992733110649,0.2091489894080742,0.001079647628863658,0.0,0.0,0.0,0.0,0.0,-1.5337576435899243,-9.986129442479827,-14.999999999999998,1.0945144611596331,0.038898241024345026,1.055616220135288,0.0,0.0,0.0016559178031533733,0.010781500974098909,0.01619471443295487,-0.0011816899427479822,0.006382579439443495,0.21,0.015,10.0,15.0,-1000.0,-10.0,-15.0,-1000.0,-9.986129442479827,-15.0,0.1,1000.0,0.0,7.5,-1000.0,-9.986129442479827,-15.0,-10.0,-1.5337576435899243,-9.986129442479827,-14.999999999999998,1.0945144611596331,1000.0,1000.0,1000.0,1000.0
0.08,0.08,0.39987173434554774,10.799164875827222,0.209053704098372,0.0010915325074266475,0.0,0.0,0.0,0.0,0.0,-1.5337578575838688,-9.986129303397686,-15.000000000000002,1.09451445188469,0.03889824645153104,1.055616205433159,0.0,0.0,0.0016741465600738433,0.010900184758024395,0.016372987611399714,-0.0011946981040803985,0.007097219262209853,0.21,0.015,10.0,15.0,-1000.0,-10.0,-15.0,-1000.0,-9.986129303397686,-15.0,0.1,1000.0,0.0,7.5,-1000.0,-9.986129303397686,-15.0,-10.0,-1.5337578575838688,-9.986129303397686,-15.000000000000002,1.09451445188469,1000.0,1000.0,1000.0,1000.0
0.09,0.09,0.3998548965562881,10.799055246826857,0.20896356837307906,0.0011035482265906677,0.0,0.0,0.0,0.0,0.0,-1.5337580739380283,-9.986129162781554,-14.999999999999998,1.09451444250745,0.03889825193857541,1.0556161905688746,0.0,0.0,0.0016925760025134292,0.011020175128092932,0.016553223398860013,-0.0012078494720069697,0.007773237201907021,0.21,0.015,10.0,15.0,-1000.0,-10.0,-15.0,-1000.0,-9.986129162781554,-15.0,0.1,1000.0,0.0,7.5,-1000.0,-9.986129162781554,-15.0,-10.0,-1.5337580739380283,-9.986129162781554,-14.999999999999998,1.09451444250745,1000.0,1000.0,1000.0,1000.0
